index,Date_Heure,Pression au niveau mer,Variation de pression en 3 heures,Type de tendance barométrique,Direction du vent moyen 10 mn,Vitesse du vent moyen 10 mn,Température,Point de rosée,Humidité,Visibilité horizontale,Temps présent,Pression station,Rafales sur une période,Periode de mesure de la rafale,Précipitations dans la dernière heure,Précipitations dans les 3 dernières heures,Température (°C),consommation,datehour,datemonth,consommation_pred,year
7539,2013-01-01 04:00:00,101480.0,-230.0,6.0,80.0,4.6,282.55,280.85,89.0,25000.0,2.0,101380.0,9.3,-10.0,0.0,0.0,9.400000000000034,27896.0,4,1,27695.576,2013
9744,2013-01-01 07:00:00,101420.0,-60.0,5.0,10.0,4.6,282.05,280.45,90.0,25000.0,2.0,101320.0,6.2,-10.0,0.0,0.0,8.900000000000034,24316.0,7,1,24975.932,2013
7551,2013-01-01 10:00:00,101520.0,100.0,3.0,350.0,4.6,282.25,280.35,88.0,25000.0,2.0,101420.0,6.7,-10.0,0.0,0.0,9.100000000000025,24546.0,10,1,26521.568,2013
114124,2013-01-01 13:00:00,101520.0,0.0,0.0,350.0,5.1,283.85,280.95,82.0,25000.0,2.0,101420.0,7.2,-10.0,0.0,0.0,10.700000000000044,27431.0,13,1,29207.586,2013
7566,2013-01-01 16:00:00,101520.0,0.0,5.0,40.0,1.5,283.65,281.45,86.0,25000.0,2.0,101420.0,2.6,-10.0,0.0,0.0,10.5,26963.0,16,1,29323.62,2013
7571,2013-01-01 19:00:00,101610.0,90.0,2.0,260.0,0.5,279.85,278.65,92.0,10000.0,2.0,101510.0,1.5,-10.0,0.0,0.0,6.7000000000000455,28281.0,19,1,28554.73,2013
25249,2013-01-01 22:00:00,101690.0,80.0,3.0,50.0,1.0,280.15,279.05,93.0,6000.0,2.0,101590.0,3.6,-10.0,0.0,0.0,7.0,29981.0,22,1,29611.604,2013
115596,2013-01-02 01:00:00,102460.0,-90.0,8.0,280.0,5.1,286.35,279.25,62.0,55000.0,0.0,102360.0,8.2,-10.0,0.0,0.0,13.200000000000044,29334.0,1,1,29870.889,2013
5897,2013-01-02 04:00:00,102190.0,-270.0,8.0,310.0,3.1,285.75,278.85,63.0,55000.0,0.0,102090.0,5.1,-10.0,0.0,0.0,12.600000000000025,24970.0,4,1,24541.4,2013
115610,2013-01-02 07:00:00,101950.0,-240.0,6.0,260.0,3.1,284.65,279.75,72.0,50000.0,2.0,101850.0,4.1,-10.0,0.0,0.0,11.5,25010.0,7,1,25388.076,2013
115613,2013-01-02 10:00:00,101810.0,-140.0,8.0,340.0,1.5,286.45,282.55,77.0,30000.0,2.0,101710.0,2.1,-10.0,0.0,0.0,13.300000000000011,30172.0,10,1,28871.67,2013
115622,2013-01-02 13:00:00,101460.0,-340.0,8.0,280.0,7.7,291.35,281.05,51.0,40000.0,2.0,101370.0,13.9,-10.0,0.0,0.0,18.200000000000045,29769.0,13,1,30063.293,2013
74181,2013-01-02 16:00:00,101100.0,-360.0,6.0,210.0,3.1,290.15,282.55,61.0,50000.0,2.0,101010.0,7.7,-10.0,0.0,0.0,17.0,27813.0,16,1,27023.082,2013
7458,2013-01-02 19:00:00,100810.0,-300.0,6.0,220.0,3.6,284.75,282.35,85.0,30000.0,2.0,100710.0,5.1,-10.0,0.0,0.0,11.600000000000025,27987.0,19,1,28873.242,2013
8466,2013-01-02 22:00:00,100460.0,-350.0,6.0,260.0,3.1,284.45,282.55,88.0,20000.0,2.0,100360.0,6.2,-10.0,0.0,0.0,11.300000000000011,28833.0,22,1,29347.174,2013
81555,2013-01-03 01:00:00,101860.0,-70.0,8.0,10.0,4.1,279.55,274.85,72.0,12000.0,2.0,101760.0,5.7,-10.0,0.0,0.0,6.400000000000034,35868.0,1,1,35099.984,2013
6475,2013-01-03 04:00:00,101690.0,-170.0,6.0,10.0,6.7,279.35,272.15,60.0,8000.0,3.0,101590.0,10.3,-10.0,0.0,0.0,6.2000000000000455,33502.0,4,1,32071.277,2013
11404,2013-01-03 07:00:00,101610.0,-80.0,6.0,20.0,6.2,279.05,271.45,58.0,8000.0,3.0,101510.0,8.7,-10.0,0.0,0.0,5.900000000000034,32957.0,7,1,30170.588,2013
6486,2013-01-03 10:00:00,101650.0,40.0,0.0,10.0,5.7,280.35,271.95,55.0,8000.0,2.0,101550.0,8.7,-10.0,0.0,0.0,7.2000000000000455,37962.0,10,1,34939.723,2013
7299,2013-01-03 13:00:00,101600.0,-50.0,8.0,30.0,3.1,282.15,272.25,50.0,9000.0,2.0,101500.0,5.7,-10.0,0.0,0.0,9.0,38345.0,13,1,37187.26,2013
11536,2013-01-03 16:00:00,101470.0,-130.0,6.0,0.0,0.0,283.15,272.95,49.0,10000.0,2.0,101370.0,1.0,-10.0,0.0,0.0,10.0,35555.0,16,1,33736.59,2013
24416,2013-01-03 19:00:00,101480.0,10.0,3.0,110.0,1.5,281.65,274.05,59.0,7000.0,2.0,101380.0,2.6,-10.0,0.0,0.0,8.5,34076.0,19,1,32249.064,2013
24423,2013-01-03 22:00:00,101640.0,160.0,1.0,20.0,4.1,279.85,271.15,54.0,9000.0,2.0,101540.0,8.2,-10.0,0.0,0.0,6.7000000000000455,36025.0,22,1,33989.58,2013
3103,2013-01-04 02:00:00,100360.0,-100.0,7.0,320.0,1.5,278.45,271.75,62.0,10000.0,0.0,100260.0,3.1,-10.0,0.0,0.0,5.300000000000011,24463.0,2,1,26344.83,2013
1602,2013-01-04 05:00:00,100190.0,-170.0,8.0,30.0,4.1,278.85,272.35,63.0,10000.0,2.0,100090.0,6.2,-10.0,0.0,0.0,5.7000000000000455,22781.0,5,1,26156.633,2013
1605,2013-01-04 08:00:00,100070.0,-120.0,6.0,20.0,5.1,279.25,272.25,61.0,9000.0,2.0,99970.0,7.7,-10.0,0.0,0.0,6.100000000000023,24976.0,8,1,27049.602,2013
61187,2013-01-04 11:00:00,100030.0,-40.0,5.0,20.0,5.1,278.65,275.95,83.0,6000.0,60.0,99930.0,8.7,-10.0,2.0,2.0,5.5,29607.0,11,1,31525.85,2013
3117,2013-01-04 14:00:00,99970.0,-60.0,8.0,360.0,6.7,279.95,277.75,86.0,4000.0,60.0,99870.0,10.3,-10.0,1.0,5.0,6.800000000000011,28636.0,14,1,29131.432,2013
1618,2013-01-04 17:00:00,100000.0,30.0,3.0,350.0,4.6,281.25,279.85,91.0,6000.0,60.0,99900.0,6.7,-10.0,1.0,4.0,8.100000000000023,27228.0,17,1,29411.238,2013
2226,2013-01-04 20:00:00,100180.0,180.0,3.0,290.0,2.6,281.75,280.65,93.0,7000.0,61.0,100080.0,5.7,-10.0,1.0,5.0,8.600000000000023,29959.0,20,1,31169.143,2013
1629,2013-01-04 23:00:00,100240.0,60.0,0.0,240.0,1.0,281.25,280.15,93.0,6000.0,21.0,100140.0,2.1,-10.0,0.0,1.0,8.100000000000023,30030.0,23,1,30686.117,2013
59694,2013-01-05 02:00:00,101610.0,20.0,1.0,100.0,3.1,286.65,285.35,92.0,11000.0,0.0,101510.0,4.6,-10.0,0.0,1.0,13.5,23025.0,2,1,18142.455,2013
1447,2013-01-05 05:00:00,101580.0,-30.0,6.0,120.0,1.5,286.35,285.05,92.0,15000.0,2.0,101480.0,2.6,-10.0,0.0,0.0,13.200000000000044,20361.0,5,1,17112.125,2013
2013,2013-01-05 08:00:00,101700.0,120.0,3.0,190.0,2.6,286.15,285.25,94.0,16000.0,0.0,101600.0,4.1,-10.0,0.0,0.0,13.0,21972.0,8,1,20927.688,2013
3450,2013-01-05 11:00:00,101710.0,10.0,3.0,130.0,1.5,288.95,286.05,83.0,19000.0,0.0,101610.0,3.1,-10.0,0.0,0.0,15.800000000000011,23870.0,11,1,23823.201,2013
3455,2013-01-05 14:00:00,101780.0,70.0,3.0,160.0,4.6,290.15,285.85,76.0,20000.0,2.0,101680.0,6.2,-10.0,0.0,0.0,17.0,21485.0,14,1,22509.816,2013
29773,2013-01-05 17:00:00,101730.0,-50.0,8.0,180.0,2.6,290.55,284.55,68.0,40000.0,2.0,101630.0,4.6,-10.0,0.0,0.0,17.400000000000034,18897.0,17,1,21188.559,2013
2030,2013-01-05 20:00:00,101700.0,-30.0,6.0,220.0,2.6,289.25,283.35,68.0,50000.0,2.0,101600.0,4.1,-10.0,0.0,0.0,16.100000000000023,22131.0,20,1,22073.484,2013
2033,2013-01-05 23:00:00,101750.0,50.0,1.0,310.0,1.5,285.65,281.15,74.0,60000.0,0.0,101650.0,4.1,-10.0,0.0,0.0,12.5,24764.0,23,1,23444.783,2013
84764,2013-01-06 02:00:00,101090.0,-60.0,6.0,290.0,9.3,290.25,281.35,56.0,60000.0,0.0,101000.0,13.4,-10.0,0.0,0.0,17.100000000000023,20071.0,2,1,19194.422,2013
102134,2013-01-06 05:00:00,101020.0,-70.0,6.0,320.0,6.2,290.45,281.35,55.0,60000.0,2.0,100930.0,12.9,-10.0,0.0,0.0,17.30000000000001,18112.0,5,1,17506.037,2013
8426,2013-01-06 08:00:00,101170.0,150.0,3.0,320.0,6.2,292.05,279.15,43.0,60000.0,2.0,101080.0,11.8,-10.0,0.0,0.0,18.90000000000004,21012.0,8,1,21053.871,2013
102143,2013-01-06 11:00:00,101250.0,80.0,1.0,340.0,9.3,295.05,278.05,33.0,60000.0,2.0,101160.0,14.9,-10.0,0.0,0.0,21.90000000000004,23845.0,11,1,22859.96,2013
8441,2013-01-06 14:00:00,101310.0,60.0,1.0,320.0,11.8,297.85,277.55,27.0,40000.0,2.0,101220.0,15.9,-10.0,0.0,0.0,24.700000000000045,22239.0,14,1,22183.719,2013
69991,2013-01-06 17:00:00,101240.0,-70.0,5.0,350.0,12.3,299.45,278.45,26.0,40000.0,2.0,101150.0,19.0,-10.0,0.0,0.0,26.30000000000001,20160.0,17,1,19770.639,2013
32343,2013-01-06 20:00:00,101300.0,60.0,3.0,340.0,10.8,297.95,278.65,29.0,30000.0,2.0,101210.0,17.5,-10.0,0.0,0.0,24.80000000000001,20451.0,20,1,20208.646,2013
84805,2013-01-06 23:00:00,101530.0,230.0,1.0,320.0,3.6,293.25,279.25,40.0,30000.0,2.0,101440.0,10.8,-10.0,0.0,0.0,20.100000000000023,22956.0,23,1,22206.297,2013
26250,2013-01-07 02:00:00,101860.0,10.0,1.0,360.0,2.6,292.75,283.95,57.0,60000.0,0.0,101770.0,3.6,-10.0,0.0,0.0,19.600000000000023,16375.0,2,1,17927.164,2013
